measure,conv_gps_patience_vs_wvs,conv_wvs_patience_vs_gps,conv_gps_trust_vs_wvs,conv_wvs_trust_vs_gps,disc_gps_patience_vs_gps_trust,disc_wvs_patience_vs_wvs_trust,disc_gps_patience_vs_wvs_trust,disc_gps_trust_vs_wvs_patience
gps_patience,-0.5518765868099758,0.7,0.5248565176350739,-0.1623387021102129,0.21233870211021288,-0.47485651763507386,-0.47485651763507386,0.09812341319002416
m_patience_child_qualities,0.7,-0.5518765868099758,-0.7107651003936546,-0.05869560525082071,0.1086956052508207,-0.060765100393654625,-0.060765100393654625,-0.65
gps_trust,-0.05869560525082071,-0.1623387021102129,-0.015736772591326775,0.6999999999999997,-0.6499999999999998,0.06573677259132676,0.06573677259132676,0.1086956052508207
m_trust_general,-0.7107651003936546,0.5248565176350739,0.6999999999999997,-0.015736772591326775,0.06573677259132676,-0.6499999999999998,-0.6499999999999998,-0.06076510039365468
