measure,conv_edu_cell,mono_edu_cell
m_trust_general,-0.17685380538233855,-0.13134149533500744
m_trust_in_group,-0.26840722757035784,-0.23335328513542186
m_trust_out_group,-0.2749894004417674,-0.22479427196934104
m_trust_institution,-0.6273687357208166,-0.552204393308033
m_trust_composite,-0.4737028482419085,-0.4143326431628568
m_noise,-0.17191154663712352,-0.11900664632351501
