unit_id,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_trust_composite,m_noise,q275_cell,gps_trust_cell
ARG|F|18-24,0.15789473684210525,0.86125,0.5787037037037037,0.5380892255892256,0.6593476430976432,-0.9787531501620005,2.67,-0.3722319
ARG|F|25-34,0.1958762886597938,0.8547619047619047,0.6103174603174603,0.5123015873015873,0.6591269841269841,1.497919541899939,3.323809523809524,-0.35042122
ARG|F|35-44,0.24705882352941178,0.8777472527472527,0.6185185185185185,0.5272435897435898,0.6745031203364537,0.07792928804848402,3.230769230769231,-0.19964826
ARG|F|45-54,0.2077922077922078,0.8591772151898734,0.5864978902953587,0.5313818565400844,0.6590189873417721,-0.311974138266259,2.8607594936708862,-0.4033671
ARG|F|55-64,0.1694915254237288,0.8668032786885246,0.648224043715847,0.5792349726775957,0.6980874316939891,1.044856061355937,2.278688524590164,-0.26753116
ARG|F|65+,0.2,0.8765243902439024,0.6118143459915613,0.6069613821138211,0.698433372783095,0.6083133150279313,2.0609756097560976,0.024143748
ARG|M|18-24,0.2413793103448276,0.8668478260869565,0.595108695652174,0.5274003623188406,0.663118961352657,-1.8986724818078353,2.5760869565217392,-0.3638622
ARG|M|25-34,0.2631578947368421,0.8529411764705882,0.6086601307189543,0.5016339869281046,0.6544117647058824,-0.13397888687682702,3.0784313725490198,-0.37292972
ARG|M|35-44,0.19480519480519481,0.850609756097561,0.5828125,0.5294715447154471,0.6542979336043361,1.7971696195209137,2.975609756097561,-0.3692887
ARG|M|45-54,0.17142857142857143,0.8835616438356164,0.6015981735159817,0.5322488584474886,0.6724695585996955,0.30386068469804234,2.4657534246575343,-0.252305
ARG|M|55-64,0.2537313432835821,0.8713768115942029,0.6125621890547264,0.5553571428571429,0.6797653811686907,2.108970408892304,2.442857142857143,-0.09236633
ARG|M|65+,0.15873015873015872,0.8731060606060606,0.6073232323232324,0.5482954545454546,0.6762415824915825,-2.669572922604983,2.3333333333333335,-0.1257584
AUS|F|18-24,0.4897959183673469,0.9107142857142857,0.6224489795918368,0.6262755102040817,0.7198129251700681,0.5559612402695856,4.571428571428571,0.015001211
AUS|F|25-34,0.4539877300613497,0.88420245398773,0.6451942740286298,0.6210133744855968,0.7168033675006522,-1.0285352937731242,5.253086419753086,0.26576573
AUS|F|35-44,0.5914634146341463,0.8932926829268293,0.6844512195121951,0.6276676829268293,0.7351371951219511,-0.680715620082155,5.425,0.46595672
AUS|F|45-54,0.5084745762711864,0.8883426966292135,0.677434456928839,0.6321395131086142,0.7326388888888888,0.46501712523731514,5.045197740112994,0.47489724
AUS|F|55-64,0.5708154506437768,0.9106382978723404,0.6900709219858155,0.6275709219858155,0.7427600472813238,0.21894949398004065,4.407894736842105,0.4971646
