unit_id,m_wvs_q13,m_wvs_q14,m_composite,q275_cell,gps_patience_cell,m_noise
ARG|F|18-24,1.81,1.72,1.252433093589328,2.67,-0.017020624,0.27821898649058274
ARG|F|25-34,1.7809523809523808,1.6095238095238096,0.2547196950581546,3.323809523809524,-0.15313862,-0.3141200470729926
ARG|F|35-44,1.7912087912087913,1.6153846153846154,0.3837667062449602,3.230769230769231,-0.24833728,1.283400256874322
ARG|F|45-54,1.8101265822784811,1.7468354430379747,1.4342663362439296,2.8607594936708862,-0.3010481,1.4098527816606685
ARG|F|55-64,1.7049180327868851,1.6721311475409837,0.012297650137836805,2.278688524590164,-0.3508143,-0.3809673628939239
ARG|F|65+,1.7073170731707317,1.7195121951219512,0.3523456260619637,2.0609756097560976,-0.52124614,1.5214043385503284
ARG|M|18-24,1.8478260869565217,1.7826086956521738,2.0044435034516885,2.5760869565217392,0.06804057,0.2695271067069885
ARG|M|25-34,1.8235294117647058,1.6666666666666667,1.011412851606533,3.0784313725490198,-0.048730478,-0.4812670942965501
ARG|M|35-44,1.7804878048780488,1.6585365853658536,0.5807468358186995,2.975609756097561,-0.1338728,-0.8064525742106374
ARG|M|45-54,1.7671232876712328,1.7808219178082192,1.2875758113769524,2.4657534246575343,-0.24391176,-0.9829378226724276
ARG|M|55-64,1.7285714285714286,1.6142857142857143,-0.1706901944347707,2.442857142857143,-0.21415988,0.3179177884368353
ARG|M|65+,1.7878787878787878,1.6363636363636365,0.49597011531641255,2.3333333333333335,-0.37711158,0.41632651197124537
AUS|F|18-24,1.8571428571428572,1.4285714285714286,-0.2985088653907395,4.571428571428571,1.0771183,1.338899683734812
AUS|F|25-34,1.7484662576687116,1.539877300613497,-0.4980503663474302,5.253086419753086,0.42195866,1.202665243704765
AUS|F|35-44,1.8048780487804879,1.4878048780487805,-0.3560567989030847,5.425,0.7233833,0.5093760773494698
AUS|F|45-54,1.7921348314606742,1.5674157303370786,0.06880011138063336,5.045197740112994,0.8066883,-0.830184164487704
AUS|F|55-64,1.8,1.5574468085106383,0.07035481773911145,4.407894736842105,0.835857,1.1725496226106469
AUS|F|65+,1.7466216216216217,1.6452702702702702,0.1956254396375059,3.6056338028169015,0.23611194,-0.7364552843731773
AUS|M|18-24,1.64,1.68,-0.5016831348371849,4.6,0.89384544,-0.6626995359068237
AUS|M|25-34,1.7384615384615385,1.5384615384615385,-0.5949633035795939,5.359375,0.90337473,-0.4742378694098785
AUS|M|35-44,1.8823529411764706,1.4705882352941178,0.20463764500286752,5.325301204819277,1.0133718,-0.5170642559567952
AUS|M|45-54,1.7346938775510203,1.5510204081632653,-0.543289161618168,4.7555555555555555,0.85635304,0.5733817919397022
AUS|M|55-64,1.794871794871795,1.5,-0.36131839926364573,4.805369127516778,0.74852973,-0.8050734177122048
AUS|M|65+,1.7985347985347986,1.575091575091575,0.17638976854363675,4.4319066147859925,0.6618519,-0.2709188990865112
BGD|F|18-24,1.7142857142857142,1.8979591836734695,1.6149883051711664,2.5547945205479454,0.21186933,-0.07551908994555714
BGD|F|25-34,1.8285714285714285,1.9142857142857144,2.7230795881143264,1.7904761904761906,0.117035784,0.3147307374390882
BGD|F|35-44,1.8045112781954886,1.8796992481203008,2.2800171097907986,1.4736842105263157,0.04581095,-0.8469922267449197
BGD|F|45-54,1.7424242424242424,1.9090909090909092,1.9357103125293564,0.8484848484848485,-0.047285654,1.359233294589526
