unit_id,m_wvs_q13,m_wvs_q14,m_composite,q275_cell,gps_patience_cell,m_noise
ARG|F|18-24,0.03167169432350048,0.034777464437366845,0.5108257577166874,-0.021422864051019896,0.19475862533333332,0.06731041402854612
ARG|F|25-34,0.0026240752758812658,-0.07569872603882355,-0.486887640814486,0.6323866597585042,0.05864062933333333,-0.5250286195350292
ARG|F|35-44,0.012880485532291708,-0.06983792017801771,-0.35784062962768043,0.539346366718211,-0.03655803066666666,1.0724916844122854
ARG|F|45-54,0.031798276601981534,0.06161290747534176,0.692659000371289,0.1693366296198664,-0.08926885066666665,1.1989442091986318
ARG|F|55-64,-0.07341027288961444,-0.013091388021649442,-0.7293096857348038,-0.4127343394608558,-0.1390350506666667,-0.5918759353559605
ARG|F|65+,-0.07101123250576791,0.034289659559318064,-0.3892617098106769,-0.6304472542949222,-0.30946689066666666,1.3104957660882919
ARG|M|18-24,0.06949778128002193,0.09738616008954071,1.262836167579048,-0.11533590752928058,0.27981981933333333,0.05861853424495192
ARG|M|25-34,0.045201106088206044,-0.018555868895966388,0.26980551573389244,0.3870085084980004,0.16304877133333334,-0.6921756667585867
ARG|M|35-44,0.002159499201549231,-0.02668595019677955,-0.16086050005394115,0.28418689204654113,0.07790644933333335,-1.017361146672674
ARG|M|45-54,-0.011205018005266743,0.09559938224558606,0.5459684755043118,-0.2256694393934855,-0.03213251066666667,-1.1938463951344642
ARG|M|55-64,-0.04975687710507093,-0.0709368212769188,-0.9122975303074113,-0.24856572119387677,-0.002380630666666661,0.10700921597479876
ARG|M|65+,0.009550482202288268,-0.048858899198996664,-0.2456372205562281,-0.35808953071768634,-0.16533233066666667,0.20541793950920875
AUS|F|18-24,0.07896297653702589,-0.11655758587542064,-0.09533701142106518,-0.22738382637403376,0.312247955,1.2972131010342869
AUS|F|25-34,-0.029713622937119766,-0.005251713833352323,-0.29487851237775586,0.4542740219504813,-0.34291168499999997,1.1609786610042399
AUS|F|35-44,0.026698168174656756,-0.05732413639806877,-0.1528849449334104,0.6261876021973949,-0.041487045,0.46768949464894466
AUS|F|45-54,0.013954950854842885,0.022286715890229347,0.27197196535030765,0.246385342310389,0.04181795500000007,-0.8718707471882291
AUS|F|55-64,0.021820119394168724,0.012317794063789078,0.27352667170878575,-0.3909176609604996,0.07098665500000001,1.1308630399101218
