measure,conv_edu_cell,mono_edu_cell
m_wvs_q13,-0.3709499499122267,-0.333065098943315
m_wvs_q14,-0.7245743513189342,-0.6977586255144649
m_composite,-0.6240678134414106,-0.6120825179111506
m_noise,-0.23044963107525737,-0.1738822192823348
